time,az (m/s^2)
2.100348,0.1727
2.1022,0.0793
2.105961,0.2253
2.110152,0.3569
2.110684,0.1439
2.112507,-0.16
2.115089,-0.1767
2.117572,0.0674
2.12105,0.0818
2.122773,-0.0355
2.126769,0.065
2.12732,0.309
2.130074,0.199
2.131722,-0.1097
2.134396,-0.1624
2.136767,0.0793
2.143506,0.1966
2.144061,0.0578
2.144491,0.0195
2.147078,0.1607
2.148847,0.199
2.151267,0.0076
2.154709,-0.1169
2.15576,0.0602
2.161573,0.2206
2.162344,0.0913
2.163289,-0.0642
2.165136,0.1224
2.167755,0.2875
2.170221,0.0937
2.174819,-0.0954
2.17546,0.1056
2.177535,0.2899
2.17964,0.0817
2.182317,-0.1408
2.187425,-0.0595
2.188236,0.1487
2.192079,0.0937
2.19291,-0.0116
2.195105,0.1439
2.197889,0.3736
2.199763,0.3114
2.202386,-0.0738
2.204053,-0.1767
2.207028,-0.002
2.211426,-0.045
2.211855,-0.1719
2.214233,-0.0547
2.216406,0.2971
2.218468,0.345
2.223146,0.065
2.223423,-0.0667
2.228843,0.108
2.229096,0.1607
2.231939,-0.002
2.234681,-0.0284
2.236189,0.1726
2.238536,0.2708
2.241929,0.065
2.244381,-0.0571
2.24764,0.0626
2.24795,0.1679
2.250358,0.0267
2.254373,-0.038
2.258967,0.1391
2.259344,0.3258
2.261745,0.1391
2.263922,-0.1241
2.266661,-0.038
2.267047,0.1559
2.271433,0.0674
2.275146,-0.0762
2.275595,0.0936
2.278496,0.3473
2.279799,0.2396
2.281792,-0.0021
2.285526,-0.0356
2.287656,0.0865
2.293075,0.0674
2.293639,-0.1193
2.29536,-0.1145
2.297105,0.1535
2.299304,0.1463
2.301243,-0.0451
2.306014,-0.014
2.306578,0.2516
2.310009,0.2899
2.311174,0.0219
2.315047,-0.1169
2.317366,0.0434
2.319433,0.1152
2.321547,-0.0834
2.325008,-0.1385
2.325751,0.0267
2.329974,0.0339
2.330553,-0.3011
2.334301,-0.6313
2.336457,-0.5667
2.338929,-0.3944
2.349619,-0.4614
2.35043,-0.4997
2.350835,-0.2724
2.351178,0.0172
2.351747,-0.0905
2.353313,-0.1862
2.359385,-0.0403
2.360145,0.2899
2.3605,0.2301
2.362723,-0.0499
2.364277,-0.0882
2.367259,0.022
2.370033,-0.0809
2.375356,-0.313
2.376114,-0.2771
2.377207,0.034
2.378966,0.1249
2.382211,-0.0426
2.384066,-0.0451
2.387764,0.2086
2.392881,0.2636
2.393699,0.0124
2.39412,-0.1216
2.396719,-0.0378
2.39946,-0.0617
2.401366,-0.2866
2.403188,-0.3345
2.409245,0.0771
2.409989,0.3977
2.411633,0.4097
2.413052,0.2804
2.415683,0.3139
2.417727,0.2972
2.421811,-0.0401
2.422343,-0.2364
2.429433,-0.0808
2.429859,0.2183
2.432173,0.2111
2.432531,0.0867
2.436554,0.0915
2.437247,0.1609
2.446676,-0.0903
2.447211,-0.411
2.447525,-0.3201
2.447817,0.0724
2.449871,0.1897
2.453436,0.0747
2.456183,0.0652
2.456741,0.1992
2.461865,0.0533
2.462377,-0.2841
2.465036,-0.3057
2.467402,-0.0424
2.470964,0.1036
2.471431,0.015
2.475189,0.0413
2.477189,0.2782
2.480058,0.2471
2.482288,-0.1142
2.483904,-0.3056
2.486329,-0.1596
2.489479,-0.0471
2.49313,-0.2002
2.493777,-0.2027
2.496146,0.1156
2.499186,0.2903
2.500272,0.1419
2.50391,-0.0161
2.508565,0.0222
2.509191,0.1228
2.510315,-0.0423
2.513244,-0.1883
2.515687,-0.052
2.518574,0.2232
2.520382,0.2017
2.524816,0.0724
2.525382,0.1944
2.527613,0.4026
2.530165,0.2734
2.53279,-0.0115
2.535205,0.0028
2.537563,0.2588
2.540066,0.3378
2.546374,0.1488
2.547582,0.1296
2.548357,0.2875
2.549176,0.2325
2.551734,-0.0666
2.553942,-0.1312
2.558996,0.1847
2.559883,0.3857
2.561953,0.3139
2.564046,0.3138
2.567385,0.4814
2.568125,0.424
2.570872,0.0555
2.575525,-0.1168
2.576534,0.0938
2.578033,0.2996
2.581604,0.2445
2.582966,0.2062
2.586575,0.3976
2.587903,0.4958
2.592728,0.2661
2.593875,-0.0259
2.596017,-0.0498
2.597481,0.0771
2.600611,-0.0042
2.602087,-0.1239
2.609362,0.0818
2.610199,0.3714
2.610653,0.2853
2.612515,0.0124
2.61553,-0.0713
2.617423,0.046
2.619463,-0.0689
2.62517,-0.2723
2.626039,-0.167
2.628171,0.2063
2.631333,0.3331
2.631886,0.1321
2.63572,0.0315
2.636329,0.1034
2.639881,0.0292
2.646076,-0.2579
2.646484,-0.3417
2.646764,-0.0856
2.650446,0.0962
2.650868,-0.0402
2.654277,-0.1121
2.658878,0.1105
2.659253,0.1991
2.661628,-0.0546
2.663686,-0.2413
2.665546,-0.0378
2.66882,0.1441
2.670527,0.0125
2.674934,-0.1479
2.675249,-0.0665
2.677783,0.0939
2.681875,-0.0305
2.682891,-0.2076
2.684546,-0.0234
2.688806,0.2231
2.690531,0.1466
2.692608,-0.0617
2.695069,-0.0473
2.699658,0.1393
2.699919,0.0532
2.703106,-0.1885
2.707006,-0.1717
2.707687,0.0963
2.710243,0.125
2.715731,-0.0688
2.716118,-0.0306
2.717419,0.1943
2.720028,0.2518
2.722854,0.0388
2.724988,-0.057
2.73073,0.077
2.731157,0.1106
2.732458,-0.1742
2.733462,-0.289
2.73726,-0.0832
2.738771,0.0724
2.7443,-0.0281
2.744871,-0.0808
2.74597,0.1346
2.748897,0.2183
2.750697,-0.0497
2.753292,-0.2842
2.757634,-0.1765
2.759268,0.027
2.76206,-0.0352
2.764276,-0.119
2.767011,-0.0352
2.767412,0.0893
2.771995,-0.0758
2.772419,-0.2673
2.776443,-0.2147
2.77823,0.0319
2.780046,0.0223
2.782183,-0.15
2.78463,-0.1429
2.787891,0.039
2.792065,-0.0399
2.792603,-0.3342
2.795326,-0.3749
2.796988,-0.071
2.80074,-0.0494
2.801407,-0.2312
2.805789,-0.2504
2.806303,-0.0614
2.810044,-0.0398
2.811326,-0.2432
2.815362,-0.3509
2.816499,-0.102
2.820068,0.0775
2.821273,-0.0925
2.827443,-0.2217
2.828847,-0.0853
2.829568,-0.0182
2.830696,-0.2742
2.834063,-0.4776
2.835354,-0.2718
2.839004,-0.0564
2.846455,-0.1449
2.847166,-0.2431
2.847548,-0.078
2.850981,0.092
2.851913,-0.0444
2.853875,-0.2981
2.859635,-0.2885
2.860521,-0.1137
2.861066,-0.1711
2.862871,-0.3841
2.864382,-0.3099
2.867698,-0.0562
2.869159,-0.0322
2.875132,-0.2237
2.875937,-0.1807
2.877351,0.0275
2.880444,-0.0227
2.883544,-0.3314
2.885588,-0.3865
2.888607,-0.1233
2.889263,-0.0347
2.893065,-0.1854
2.896807,-0.2525
2.897198,-0.0801
2.898546,-0.0394
2.902768,-0.2763
2.903144,-0.4366
2.907872,-0.238
2.908343,-0.0298
2.914,-0.147
2.914425,-0.1662
2.917047,0.0276
2.920724,0.1067
2.922738,-0.1972
2.926651,-0.5226
2.927161,-0.458
2.930589,-0.2306
2.93107,-0.2785
2.933582,-0.2882
2.93726,-0.0824
2.937838,0.1808
2.946969,0.0588
2.947562,-0.2427
2.948014,-0.3169
2.948442,-0.2067
2.952152,-0.367
2.952917,-0.5656
2.956341,-0.458
2.961816,-0.1325
2.962403,-0.0081
2.962781,-0.1804
2.964803,-0.2092
2.966907,-0.0704
2.97095,-0.1325
2.971511,-0.4627
2.977205,-0.5298
2.977821,-0.2426
2.980092,-0.1062
2.982233,-0.2426
2.984373,-0.324
2.986624,-0.221
2.990016,-0.1851
2.994072,-0.4698
2.994899,-0.6015
2.996915,-0.3646
2.998903,-0.1252
3.001619,-0.2329
3.004718,-0.3622
3.005955,-0.233
3.011826,-0.1157
3.012874,-0.3477
3.014122,-0.5727
3.015369,-0.4411
3.017689,-0.1611
3.02014,-0.2352
